[0]  name=Unicorn; desc=It's a unicorn; cmd=; level = 21
[402]  name=kalron; desc=he look's lost; cmd=; level = 3
[403]  name=brother Galahad; desc=A Peaceful monk; cmd=; level = 12
[404]  name=tracker 1; desc=It's a tree gnome; cmd=; level = 3
[405]  name=tracker 2; desc=It's a tree gnome; cmd=; level = 3
[406]  name=tracker 3; desc=It's a tree gnome; cmd=; level = 3
[407]  name=Khazard troop; desc=It's one of General Khazard's warrior's; cmd=; level = 31
[408]  name=commander montai; desc=It's a tree gnome; cmd=; level = 3
[409]  name=gnome troop; desc=It's a tree gnome trooper; cmd=; level = 3
[410]  name=khazard warlord; desc=He look's real nasty; cmd=; level = 75
[411]  name=Sir Percival; desc=He's covered in pieces of straw; cmd=; level = 55
[412]  name=Fisher king; desc=an old king; cmd=; level = 15
[413]  name=maiden; desc=She has a far away look in her eyes; cmd=; level = 2
[414]  name=Fisherman; desc=an old fisherman; cmd=; level = 15
[415]  name=King Percival; desc=The new fisher king; cmd=; level = 55
[416]  name=unhappy peasant; desc=He looks tired and hungry; cmd=; level = 25
[417]  name=happy peasant; desc=He looks well fed and full of energy; cmd=; level = 25
[418]  name=ceril; desc=It's Sir ceril carnillean a local noblemen; cmd=; level = 11
[419]  name=butler; desc=It's the carnillean family butler; cmd=; level = 11
[420]  name=carnillean guard; desc=It's a carnillean family guard; cmd=; level = 31
[421]  name=Tribesman; desc=A primative warrior; cmd=; level = 38
[422]  name=henryeta; desc=It's a wealthy looking woman; cmd=; level = 2
[423]  name=philipe; desc=It's a young well dressed boy; cmd=; level = 0
[424]  name=clivet; desc=A strange looking man in black ; cmd=; level = 20
[425]  name=cult member; desc=An suspicous looking man in black ; cmd=; level = 20
[426]  name=Lord hazeel; desc=He could do with some sun; cmd=; level = 75
[427]  name=alomone; desc=A musculer looking man in black ; cmd=; level = 48
[428]  name=Khazard commander; desc=It's one of General Khazard's commander's; cmd=; level = 50
[429]  name=claus; desc=the carnillean family cook; cmd=; level = 20
[430]  name=1st plague sheep; desc=The sheep has the plague; cmd=; level = 0
[431]  name=2nd plague sheep; desc=The sheep has the plague; cmd=; level = 0
[432]  name=3rd plague sheep; desc=The sheep has the plague; cmd=; level = 0
[433]  name=4th plague sheep; desc=The sheep has the plague; cmd=; level = 0
[434]  name=Farmer brumty; desc=He looks after livestock in this area; cmd=; level = 15
[435]  name=Doctor orbon; desc=A local doctor; cmd=; level = 20
[436]  name=Councillor Halgrive; desc=A town counceller; cmd=; level = 20
[437]  name=Edmond; desc=A local civilian; cmd=; level = 20
[438]  name=Citizen; desc=He look's tired; cmd=; level = 12
[439]  name=Citizen; desc=He look's frightened; cmd=; level = 10
[440]  name=Citizen; desc=She look's frustrated; cmd=; level = 11
[441]  name=Citizen; desc=He look's angry; cmd=; level = 20
[442]  name=Citizen; desc=He look's disillusioned; cmd=; level = 18
[443]  name=Jethick; desc=A cynical old man; cmd=; level = 18
[444]  name=Mourner; desc=A mourner or plague healer; cmd=; level = 2
[445]  name=Mourner; desc=A mourner or plague healer; cmd=; level = 2
[446]  name=Ted Rehnison; desc=The head of the Rehnison family; cmd=; level = 11
[447]  name=Martha Rehnison; desc=A fairly poor looking woman; cmd=; level = 11
[448]  name=Billy Rehnison; desc=The Rehnisons eldest son; cmd=; level = 20
[449]  name=Milli Rehnison; desc=She doesn't seem very happy; cmd=; level = 42
[450]  name=Alrena; desc=She look's concerned; cmd=; level = 1
[451]  name=Mourner; desc=A mourner or plague healer; cmd=; level = 2
[452]  name=Clerk; desc=A bueracratic administrator; cmd=; level = 2
[453]  name=Carla; desc=She look's upset; cmd=; level = 1
[454]  name=Bravek; desc=The city warder of West Ardougne; cmd=; level = 15
[455]  name=Caroline; desc=A well dressed middle aged lady; cmd=; level = 1
[456]  name=Holgart; desc=An old sailor; cmd=; level = 20
[457]  name=Holgart; desc=An old sailor; cmd=; level = 20
[458]  name=Holgart; desc=An old sailor; cmd=; level = 20
[459]  name=kent; desc=caroline's husband; cmd=; level = 20
[460]  name=bailey; desc=the fishing platform cook; cmd=; level = 20
[461]  name=kennith; desc=A young scared looking boy; cmd=; level = 0
[462]  name=Platform Fisherman; desc=an emotionless fisherman; cmd=; level = 15
[463]  name=Platform Fisherman; desc=an emotionless fisherman; cmd=; level = 15
[464]  name=Platform Fisherman; desc=an emotionless fisherman; cmd=; level = 15
[465]  name=Elena; desc=She doesn't look too happy; cmd=; level = 1
[466]  name=jinno; desc=He doesn't seem to mind his lack of legs; cmd=; level = 30
[467]  name=Watto; desc=He doesn't seem to mind his lack of legs; cmd=; level = 30
[468]  name=Recruiter; desc=A member of the Ardougne royal army; cmd=; level = 40
[469]  name=Head mourner; desc=In charge of people with silly outfits; cmd=; level = 2
[470]  name=Almera; desc=A woman of the wilderness; cmd=; level = 1
[471]  name=hudon; desc=A young boisterous looking lad; cmd=; level = 0
[472]  name=hadley; desc=A happy looking fellow; cmd=; level = 15
[473]  name=Rat; desc=Overgrown vermin; cmd=; level = 15
[474]  name=Combat instructor; desc=He will tell me how to fight; cmd=; level = 40
[475]  name=golrie; desc=It's a tree gnome; cmd=; level = 3
[476]  name=Guide; desc=She gives hints to new adventurers; cmd=; level = 0
[477]  name=King Black Dragon; desc=The biggest meanest dragon around; cmd=; level = 250
[478]  name=cooking instructor; desc=Talk to him to learn about runescape food; cmd=; level = 20
[479]  name=fishing instructor; desc=He smells of fish; cmd=; level = 15
[480]  name=financial advisor; desc=He knows about money; cmd=; level = 0
[481]  name=gerald; desc=An old fisherman; cmd=; level = 15
[482]  name=mining instructor; desc=A short angry guy; cmd=; level = 20
[483]  name=Elena; desc=She looks concerned; cmd=; level = 1
[484]  name=Omart; desc=A nervous looking fellow; cmd=; level = 15
[485]  name=Bank assistant; desc=She can look after my stuff; cmd=; level = 11
[486]  name=Jerico; desc=He looks friendly enough; cmd=; level = 15
[487]  name=Kilron; desc=He looks shifty; cmd=; level = 15
[488]  name=Guidor's wife; desc=She looks rather concerned; cmd=; level = 1
[489]  name=Quest advisor; desc=I wonder what advise he has to impart; cmd=; level = 40
[490]  name=chemist; desc=human; cmd=; level = 3
[491]  name=Mourner; desc=A mourner or plague healer; cmd=; level = 2
[492]  name=Mourner; desc=A mourner or plague healer; cmd=; level = 2
[493]  name=Wilderness guide; desc=He's ready for a fight; cmd=; level = 32
[494]  name=Magic Instructor; desc=An old wizard; cmd=; level = 20
[495]  name=Mourner; desc=A mourner or plague healer; cmd=; level = 20
[496]  name=Community instructor; desc=This is the last advisor - honest; cmd=; level = 2
[497]  name=boatman; desc=An old sailor; cmd=; level = 20
[498]  name=skeleton mage; desc=It rattles as it walks; cmd=; level = 24
[499]  name=controls guide; desc=He's ready for a fight; cmd=; level = 32
[500]  name=nurse sarah; desc=She's quite a looker; cmd=; level = 1
[501]  name=Tailor; desc=He's ready for a party; cmd=; level = 32
[502]  name=Mourner; desc=A mourner or plague healer; cmd=; level = 30
[503]  name=Guard; desc=He tries to keep order around here; cmd=; level = 31
[504]  name=Chemist; desc=He looks clever enough; cmd=; level = 32
[505]  name=Chancy; desc=He's ready for a bet; cmd=; level = 32
[506]  name=Hops; desc=He's drunk; cmd=; level = 32
[507]  name=DeVinci; desc=He has a colourful personality; cmd=; level = 32
[508]  name=Guidor; desc=He's not that ill; cmd=; level = 32
[509]  name=Chancy; desc=He's ready for a bet; cmd=; level = 32
[510]  name=Hops; desc=He's drunk; cmd=; level = 32
[511]  name=DeVinci; desc=He has a colourful personality; cmd=; level = 32
[512]  name=king Lanthas; desc=King Lanthas of east ardounge; cmd=; level = 15
[513]  name=Head wizard; desc=He runs the wizards guild; cmd=; level = 20
[514]  name=Magic store owner; desc=An old wizard; cmd=; level = 20
[515]  name=Wizard Frumscone; desc=A confused looking wizard; cmd=; level = 20
[516]  name=target practice zombie; desc=The living dead; cmd=; level = 23
[517]  name=Trufitus; desc=A wise old witch doctor; cmd=; level = 10
[518]  name=Colonel Radick; desc=A soldier of the town of Yanille; cmd=; level = 40
[519]  name=Soldier; desc=A soldier of the town of Yanille; cmd=; level = 31
[520]  name=Bartender; desc=I could get a beer off him; cmd=; level = 0
[521]  name=Jungle Spider; desc=A venomous deadly spider; cmd=; level = 45
[522]  name=Jiminua; desc=She looks very interested in selling some of her wares.; cmd=; level = 0
[523]  name=Jogre; desc=An aggressive humanoid; cmd=; level = 72
[524]  name=Guard; desc=He tries to keep order around here; cmd=; level = 31
[525]  name=Ogre; desc=Useful for ranged training; cmd=; level = 72
[526]  name=Guard; desc=He tries to keep order around here; cmd=; level = 31
[527]  name=Guard; desc=He tries to keep order around here; cmd=; level = 31
[528]  name=shop keeper; desc=he sells weapons; cmd=; level = 0
[529]  name=Bartender; desc=I could get a beer off him; cmd=; level = 0
[530]  name=Frenita; desc=runs a cookery shop; cmd=; level = 0
[531]  name=Ogre chieftan; desc=A slightly bigger uglier ogre; cmd=; level = 92
[532]  name=rometti; desc=It's a well dressed tree gnome; cmd=; level = 3
[533]  name=Rashiliyia; desc=A willowy ethereal being who floats above the ground; cmd=; level = 80
[534]  name=Blurberry; desc=It's a red faced tree gnome; cmd=; level = 3
[535]  name=Heckel funch; desc=It's another jolly tree gnome; cmd=; level = 3
[536]  name=Aluft Gianne; desc=It's a tree gnome chef; cmd=; level = 3
[537]  name=Hudo glenfad; desc=It's another jolly tree gnome; cmd=; level = 3
[538]  name=Irena; desc=human; cmd=; level = 0
[539]  name=Mosol; desc=A jungle warrior; cmd=; level = 0
[540]  name=Gnome banker; desc=It's tree gnome banker; cmd=; level = 3
[541]  name=King Narnode Shareen; desc=It's a gnome he look's important; cmd=; level = 3
[542]  name=UndeadOne; desc=One of Rashaliyas Minions; cmd=; level = 80
[543]  name=Drucas; desc=engraver; cmd=; level = 20
[544]  name=tourist; desc=human; cmd=; level = 32
[545]  name=King Narnode Shareen; desc=It's a gnome he look's important; cmd=; level = 3
[546]  name=Hazelmere; desc=An ancient looking gnome; cmd=; level = 3
[547]  name=Glough; desc=An rough looking gnome; cmd=; level = 3
[548]  name=Shar; desc=Concerned about the economy; cmd=b38c40; level = 0
[549]  name=Shantay; desc=human; cmd=; level = 0
[550]  name=charlie; desc=Poor guy?; cmd=; level = 0
[551]  name=Gnome guard; desc=A tree gnome guard; cmd=; level = 31
[552]  name=Gnome pilot; desc=He can fly the glider; cmd=; level = 3
[553]  name=Mehman; desc=local; cmd=805030; level = 32
[554]  name=Ana; desc=This lady doesn't look as if she belongs here.; cmd=; level = 17
[555]  name=Chaos Druid warrior; desc=A crazy evil druid; cmd=; level = 48
[556]  name=Gnome pilot; desc=He can fly the glider; cmd=; level = 3
[557]  name=Shipyard worker; desc=He look's busy; cmd=; level = 48
[558]  name=Shipyard worker; desc=He look's busy; cmd=; level = 48
[559]  name=Shipyard worker; desc=He look's busy; cmd=; level = 48
[560]  name=Shipyard foreman; desc=He look's busy; cmd=; level = 60
[561]  name=Shipyard foreman; desc=He look's busy; cmd=; level = 60
[562]  name=Gnome guard; desc=A tree gnome guard; cmd=; level = 23
[563]  name=Femi; desc=It's a little tree gnome; cmd=; level = 3
[564]  name=Femi; desc=It's a little tree gnome; cmd=; level = 3
[565]  name=Anita; desc=It's a little tree gnome; cmd=; level = 3
[566]  name=Glough; desc=An rough looking gnome; cmd=; level = 3
[567]  name=Salarin the twisted; desc=A crazy evil druid; cmd=; level = 68
[568]  name=Black Demon; desc=A big scary jet black demon; cmd=; level = 195
[569]  name=Gnome pilot; desc=He can fly the glider; cmd=; level = 3
[570]  name=Gnome pilot; desc=He can fly the glider; cmd=; level = 3
[571]  name=Gnome pilot; desc=He can fly the glider; cmd=; level = 3
[572]  name=Gnome pilot; desc=He can fly the glider; cmd=; level = 3
[573]  name=Sigbert the Adventurer; desc=A Warrior; cmd=; level = 55
[574]  name=Yanille Watchman; desc=He watches out for invading ogres; cmd=pickpocket; level = 41
[575]  name=Tower guard; desc=He stops people going up the tower; cmd=; level = 41
[576]  name=Gnome Trainer; desc=He can advise on training; cmd=; level = 11
[577]  name=Gnome Trainer; desc=He can advise on training; cmd=; level = 11
[578]  name=Gnome Trainer; desc=He can advise on training; cmd=; level = 11
[579]  name=Gnome Trainer; desc=He can advise on training; cmd=pickpocket; level = 11
[580]  name=Blurberry barman; desc=He serves cocktails; cmd=pickpocket; level = 3
[581]  name=Gnome waiter; desc=He can serve you gnome food; cmd=pickpocket; level = 3
[582]  name=Gnome guard; desc=A tree gnome guard; cmd=pickpocket; level = 31
[583]  name=Gnome child; desc=that's a little gnome; cmd=pickpocket; level = 3
[584]  name=Earth warrior; desc=A strange inhuman warrior; cmd=; level = 52
[585]  name=Gnome child; desc=He's a little fellow; cmd=pickpocket; level = 3
[586]  name=Gnome child; desc=hello little gnome; cmd=pickpocket; level = 3
[587]  name=Gulluck; desc=He sells weapons; cmd=; level = 10
[588]  name=Gunnjorn; desc=Not civilised looking; cmd=; level = 18
[589]  name=Zadimus; desc=Ghostly Visage of the dead Zadimus; cmd=; level = 0
[590]  name=Brimstail; desc=An ancient looking gnome; cmd=; level = 3
[591]  name=Gnome child; desc=He's a little fellow; cmd=pickpocket; level = 3
[592]  name=Gnome local; desc=A tree gnome villager; cmd=pickpocket; level = 9
[593]  name=Gnome local; desc=A tree gnome villager; cmd=pickpocket; level = 3
[594]  name=Moss Giant; desc=his beard seems to have a life of its own; cmd=; level = 62
[595]  name=Gnome Baller; desc=A tree gnome ball player; cmd=tackle; level = 70
[596]  name=Goalie; desc=A gnome ball goal catcher; cmd=; level = 70
[597]  name=Gnome Baller; desc=A tree gnome ball player; cmd=tackle; level = 70
[598]  name=Gnome Baller; desc=A tree gnome ball player; cmd=tackle; level = 70
[599]  name=Gnome Baller; desc=A tree gnome ball player; cmd=tackle; level = 70
[600]  name=Gnome Baller; desc=A tree gnome ball player; cmd=tackle; level = 70
[601]  name=Referee; desc=He controls the game; cmd=; level = 3
[602]  name=Gnome Baller; desc=A tree gnome ball player; cmd=tackle; level = 70
[603]  name=Gnome Baller; desc=A tree gnome ball player; cmd=tackle; level = 70
[604]  name=Gnome Baller; desc=A tree gnome ball player; cmd=tackle; level = 70
[605]  name=Gnome Baller; desc=A tree gnome ball player; cmd=tackle; level = 70
[606]  name=Gnome Baller; desc=A tree gnome ball player; cmd=tackle; level = 70
[607]  name=Gnome Baller; desc=A tree gnome ball player; cmd=tackle; level = 70
[608]  name=Gnome Baller; desc=A tree gnome ball player; cmd=tackle; level = 70
[609]  name=Gnome Baller; desc=He's on your team; cmd=pass to; level = 70
[610]  name=Gnome Baller; desc=He's on your team; cmd=pass to; level = 70
[611]  name=Cheerleader; desc=It's a little tree gnome; cmd=; level = 3
[612]  name=Cheerleader; desc=It's a little tree gnome; cmd=; level = 3
[613]  name=Nazastarool Zombie; desc=One of Rashaliyas Minions; cmd=; level = 95
[614]  name=Nazastarool Skeleton; desc=One of Rashaliyas Minions; cmd=; level = 95
[615]  name=Nazastarool Ghost; desc=One of Rashaliyas Minions; cmd=; level = 95
[616]  name=Fernahei; desc=An enthusiastic fishing shop owner; cmd=; level = 10
[617]  name=Jungle Banker; desc=He can look after my money; cmd=; level = 11
[618]  name=Cart Driver; desc=He drives the cart; cmd=; level = 15
[619]  name=Cart Driver; desc=He drives the cart; cmd=; level = 15
[620]  name=Obli; desc=An intelligent looking shop owner; cmd=; level = 0
[621]  name=Kaleb; desc=This is Kaleb Paramaya - a warm and friendly inn owner; cmd=; level = 0
[622]  name=Yohnus; desc=This is Yohnus - he runs the local blacksmiths; cmd=; level = 0
[623]  name=Serevel; desc=This is Serevel - he sells tickets for the 'Lady of the Waves'; cmd=; level = 0
[624]  name=Yanni; desc=Yanni Salika - He buys and sells antiques.; cmd=; level = 0
[625]  name=Official; desc=He helps the referee; cmd=; level = 3
[626]  name=Koftik; desc=The kings top tracker; cmd=; level = 18
[627]  name=Koftik; desc=The kings top tracker; cmd=; level = 18
[628]  name=Koftik; desc=The kings top tracker; cmd=; level = 18
[629]  name=Koftik; desc=The kings top tracker; cmd=; level = 18
[630]  name=Blessed Vermen; desc=A undead servent of iban; cmd=; level = 15
[631]  name=Blessed Spider; desc=One of iban's eight legged friends; cmd=; level = 45
[632]  name=Paladin; desc=A paladin of Ardougne; cmd=; level = 85
[633]  name=Paladin; desc=A paladin of Ardougne; cmd=; level = 85
[634]  name=slave; desc=He seems possessed; cmd=; level = 17
[635]  name=slave; desc=He seems possessed; cmd=; level = 17
[636]  name=slave; desc=He seems to have been here a while; cmd=; level = 17
[637]  name=slave; desc=He seems possessed; cmd=; level = 17
[638]  name=slave; desc=He seems to have been here a while; cmd=; level = 17
[639]  name=slave; desc=He seems possessed; cmd=; level = 17
[640]  name=slave; desc=He seems to have been here a while; cmd=; level = 17
[641]  name=Kalrag; desc=I think this is one of Ibans pets; cmd=; level = 88
[642]  name=Niloof; desc=A short angry guy; cmd=; level = 20
[643]  name=Kardia the Witch; desc=She's got warts; cmd=; level = 35
[644]  name=Souless; desc=He seems an empty shell; cmd=; level = 17
[645]  name=Othainian; desc=big red and incredibly evil; cmd=; level = 78
[646]  name=Doomion; desc=A big scary jet black demon; cmd=; level = 98
[647]  name=Holthion; desc=big red and incredibly evil; cmd=; level = 78
[648]  name=Klank; desc=A short angry guy; cmd=; level = 20
[649]  name=Iban; desc=You feel terror just looking at him; cmd=; level = 24
[650]  name=Koftik; desc=The kings top tracker; cmd=; level = 18
[651]  name=Goblin guard; desc=An imposing green creature; cmd=; level = 48
[652]  name=Observatory Professor; desc=He works in the observatory; cmd=; level = 3
[653]  name=Ugthanki; desc=A dangerous type of spitting camel that can temporarily blind an opponent.; cmd=; level = 45
[654]  name=Observatory assistant; desc=The Professor's assistant; cmd=; level = 3
[655]  name=Souless; desc=A servent to zamorak; cmd=; level = 23
[656]  name=Dungeon spider; desc=A nasty poisonous arachnid; cmd=; level = 25
[657]  name=Kamen; desc=A short angry guy; cmd=; level = 20
[658]  name=Iban disciple; desc=An evil follower of Iban; cmd=; level = 18
[659]  name=Koftik; desc=The kings top tracker; cmd=; level = 18
[660]  name=Goblin; desc=These goblins have grown strong; cmd=; level = 24
[661]  name=Chadwell; desc=A sturdy looking gent; cmd=; level = 18
[662]  name=Professor; desc=The owner of the observatory; cmd=; level = 3
[663]  name=FREESLOT; desc=FREESLOT PLEASE USE; cmd=; level = 17
[664]  name=Ghost; desc=A doomed victim of zamorak; cmd=; level = 33
[665]  name=Spirit of Scorpius; desc=The undead spirit of the follower of Zamorak; cmd=; level = 100
[666]  name=Scorpion; desc=There are nasty scorpions around this grave; cmd=; level = 21
[667]  name=Dark Mage; desc=He works in the ways of dark magic; cmd=; level = 0
[668]  name=Mercenary; desc=He seems to be guarding an area; cmd=; level = 48
[669]  name=Mercenary Captain; desc=He's in control of the local guards.; cmd=watch; level = 48
[670]  name=Mercenary; desc=He seems to be guarding an area; cmd=; level = 48
[671]  name=Mining Slave; desc=A chained slave forced to mine rocks.; cmd=; level = 17
[672]  name=Watchtower wizard; desc=A learned man; cmd=; level = 20
[673]  name=Ogre Shaman; desc=An intelligent form of ogre; cmd=; level = 100
[674]  name=Skavid; desc=Servant race to the ogres; cmd=; level = 3
[675]  name=Ogre guard; desc=These ogres protect the city; cmd=; level = 92
[676]  name=Ogre guard; desc=These ogres protect the city; cmd=; level = 92
[677]  name=Ogre guard; desc=These ogres protect the city; cmd=; level = 92
[678]  name=Skavid; desc=Servant race to the ogres; cmd=; level = 3
[679]  name=Skavid; desc=Servant race to the ogres; cmd=; level = 3
[680]  name=Og; desc=The chieftan of this ogre tribe; cmd=; level = 92
[681]  name=Grew; desc=The chieftan of this ogre tribe; cmd=; level = 92
[682]  name=Toban; desc=The chieftan of this ogre tribe; cmd=; level = 92
[683]  name=Gorad; desc=A high ranking ogre official; cmd=; level = 92
[684]  name=Ogre guard; desc=this creature looks very tough; cmd=; level = 98
[685]  name=Yanille Watchman; desc=A captured guard of Yanille; cmd=; level = 41
[686]  name=Ogre merchant; desc=He sells ogre-inspired items; cmd=; level = 72
[687]  name=Ogre trader; desc=He trades in metals; cmd=; level = 72
[688]  name=Ogre trader; desc=He trades in food; cmd=; level = 72
[689]  name=Ogre trader; desc=He trades in food; cmd=; level = 72
[690]  name=Mercenary; desc=He seems to be guarding an area; cmd=; level = 48
[691]  name=City Guard; desc=high ranking ogre guards; cmd=; level = 92
[692]  name=Mercenary; desc=He seems to be guarding this area; cmd=; level = 48
[693]  name=Lawgof; desc=He guards the mines; cmd=; level = 20
[694]  name=Dwarf; desc=A short angry guy; cmd=; level = 20
[695]  name=lollk; desc=He looks scared; cmd=; level = 20
[696]  name=Skavid; desc=Servant race to the ogres; cmd=; level = 3
[697]  name=Ogre guard; desc=These ogres protect the city; cmd=; level = 92
[698]  name=Nulodion; desc=He's the head of black guard weapon development; cmd=; level = 20
[699]  name=Dwarf; desc=A short angry guy; cmd=; level = 20
[700]  name=Al Shabim; desc=The leader of a nomadic Bedabin desert people - sometimes referred to as the 'Tenti's'; cmd=; level = 0
[701]  name=Bedabin Nomad; desc=A Bedabin nomad - they live in the harshest extremes in the desert; cmd=; level = 0
[702]  name=Captain Siad; desc=He's in control of the whole mining camp.; cmd=; level = 48
[703]  name=Bedabin Nomad Guard; desc=A Bedabin nomad guard - he's protecting something important; cmd=; level = 70
[704]  name=Ogre citizen; desc=A denizen of Gu'Tanoth; cmd=; level = 72
[705]  name=Rock of ages; desc=A huge boulder; cmd=; level = 150
[706]  name=Ogre; desc=A large dim looking humanoid; cmd=; level = 72
[707]  name=Skavid; desc=Servant race to the ogres; cmd=; level = 3
[708]  name=Skavid; desc=Servant race to the ogres; cmd=; level = 3
[709]  name=Skavid; desc=Servant race to the ogres; cmd=; level = 3
[710]  name=Draft Mercenary Guard; desc=He's quickly drafted in to deal with trouble makers; cmd=; level = 48
[711]  name=Mining Cart Driver; desc=He drives the mining cart; cmd=; level = 15
[712]  name=Battle mage; desc=He runs the mage arena; cmd=; level = 20
[713]  name=Battle mage; desc=He runs the mage arena; cmd=; level = 20
[714]  name=Gertrude; desc=A busy housewife; cmd=; level = 20
[715]  name=Shilop; desc=A young boisterous looking lad; cmd=; level = 0
[716]  name=Rowdy Guard; desc=He looks as if he's spoiling for trouble; cmd=; level = 48
[717]  name=Shantay Pass Guard; desc=He seems to be guarding the Shantay Pass; cmd=; level = 32
[718]  name=Rowdy Slave; desc=A slave who's looking for trouble.; cmd=; level = 17
[719]  name=Shantay Pass Guard; desc=He seems to be guarding the Shantay Pass; cmd=; level = 32
[720]  name=Assistant; desc=He is an assistant to Shantay and helps him to run the pass.; cmd=; level = 0
[721]  name=Desert Wolf; desc=A vicious Desert wolf; cmd=; level = 30
[722]  name=Workman; desc=This person is working on the site; cmd=pickpocket; level = 11
[723]  name=Examiner; desc=As you examine the examiner you examine that she is indeed an examiner!!; cmd=; level = 1
[724]  name=Student; desc=A student busily digging!; cmd=; level = 0
[725]  name=Student; desc=A student busily digging!; cmd=; level = 20
[726]  name=Guide; desc=This person specialises in panning for gold; cmd=; level = 20
[727]  name=Student; desc=A student busily digging!; cmd=; level = 20
[728]  name=Archaeological expert; desc=An expert on archaeology!; cmd=; level = 20
[729]  name=civillian; desc=He looks aggitated!; cmd=; level = 20
[730]  name=civillian; desc=She looks aggitated!; cmd=; level = 0
[731]  name=civillian; desc=She looks aggitated!; cmd=; level = 0
[732]  name=civillian; desc=He looks aggitated!; cmd=pickpocket; level = 15
[733]  name=Murphy; desc=The man in charge of the fishing trawler; cmd=; level = 15
[734]  name=Murphy; desc=The man in charge of the fishing trawler; cmd=; level = 15
[735]  name=Sir Radimus Erkle; desc=A huge muscular man in charge of the Legends Guild; cmd=; level = 10
[736]  name=Legends Guild Guard; desc=This guard is protecting the entrance to the Legends Guild.; cmd=; level = 0
[737]  name=Escaping Mining Slave; desc=An emancipated slave with cool Desert Clothes.; cmd=; level = 17
